ID	Names	InChIKey
11449	2,5-Didehydro-D-gluconate|2,5-didehydro-D-gluconate|2,5-diketo-D-gluconate|2,5-diketogluconate|2-Dehydro-L-idonate|D-threo-2,5-hexodiulosonate|D-threo-hexo-2,5-diulosonate	LVZOQPBTQCGRGB-UHFFFAOYSA-N
114953	N(omega)-methyl-L-arginine|N(omega)-methyl-L-arginine zwitterion(1+)	NTNWOCRCBQPEKQ-YFKPBYRVSA-N
1156	2,3-dihydroxyestra-1,3,5(10)-trien-17-one|2-Hydroxyestrone|2-hydroxyestrone	SWINWPBPEKHUOD-JPVZDGGYSA-N
11561	2-Dehydropantoate|2-dehydropantoate|4-hydroxy-3,3-dimethyl-2-oxobutanoate	PKVVTUWHANFMQC-UHFFFAOYSA-N
11596	2-hydroxyglutarate|2-hydroxypentanedioate	HWXBTNAVRSUOJR-UHFFFAOYSA-N
116314	(9Z)-9-Octadecenamide|(9Z)-octadec-9-enamide|(9Z)-octadecenamide|(Z)-9-Octadecenamide|(Z)-Octadec-9-enoic acid amide|9-Octadecenamide|9Z-octadecenamide|Oleic acid amide|Oleyl amide|Oleylamide|cis-9,10-Octadecenoamide	FATBGEAMYMYZAF-UHFFFAOYSA-N
11641	2-Oxopent-4-enoate|2-oxopent-4-enoate|Oxopent-4-enoate	VHTQQDXPNUTMNB-UHFFFAOYSA-N
116509	1,1-dimethyl-3-(3,4-dichlorophenyl)urea|1-(3,4-dichlorophenyl)-3,3-dimethylurea|1-(3,4-dichlorophenyl)-3,3-dimethyluree|3-(3,4-Dichlor-phenyl)-1,1-dimethyl-harnstoff|3-(3,4-Dichloro-phenyl)-1,1-dimethyl-urea|3-(3,4-dichlorophenyl)-1,1-dimethylurea|DCMU|N'-(3,4-dichlorophenyl)-N,N-dimethylurea|N,N,-dimethyl-N'-(3,4-dichlorophenyl)urea|N-(3,4-dichlorophenyl)-N',N'-dimethylurea|diuron	XMTQQYYKAHVGBJ-UHFFFAOYSA-N
1178	(2S)-2-Isopropylmalate|(2S)-2-hydroxy-2-(propan-2-yl)butanedioate|(2S)-2-isopropylmalate	BITYXLXUCSKTJS-ZETCQYMHSA-N
11805	3-Hydroxy-2-methylpropanoate|3-Hydroxyisobutyrate|3-hydroxy-2-isobutyrate|3-hydroxy-2-methylpropanoate|3-hydroxy-2-methylpropionate	DBXBTMSZEOQQDU-UHFFFAOYSA-N
11812	2-Oxo-3-hydroxyisovalerate|3-Hydroxy-3-methyl-2-oxobutanoate|3-hydroxy-3-methyl-2-oxobutanoate	DNOPJXBPONYBLB-UHFFFAOYSA-N
11851	2-Oxo-3-methylbutanoate|2-Oxoisopentanoate|2-Oxoisovalerate|3-methyl-2-oxobutanoate|3-methyl-2-oxobutyrate|alpha-keto-isovalerate	YXHQZJPTLDUABH-UHFFFAOYSA-N
11867	3-oxo-5beta-cholan-24-oate	KIQFUORWRVZTHT-OPTMKGCMSA-N
1189	2-Methoxyestrone|2-methoxyestrone|3=hydroxy-2-methoxyestra-1,3,5(10)-trien-17-one	WHEUWNKSCXYKBU-QPWUGHHJSA-N
11892	3-(carbamoylamino)propanoate|3-[(aminocarbonyl)amino]propanoate|3-ureidopropanoate|3-ureidopropionate|ureidopropanoate|ureidopropionate	JSJWCHRYRHKBBW-UHFFFAOYSA-N
11893	3alpha,12alpha-dihydroxy-7-oxo-5beta-cholan-24-oate|3alpha,12alpha-dihydroxy-7-oxo-5beta-cholanate	RHCPKKNRWFXMAT-RRWYKFPJSA-N
11901	3alpha,7alpha-dihydroxy-12-oxo-5beta-cholan-24-oate|3alpha,7alpha-dihydroxy-12-oxo-5beta-cholanate	MIHNUBCEFJLAGN-DMMBONCOSA-N
